,onlyDistance,onlyAngular,distanceHeuristic,angularHeuristic,regions,routeMarks,barriers,distantLandmarks,usingElements,noElements,length,combined_length,minimisation_length,preferenceNatural,aversionSevering,knowledge
51,1.0,0.0,0.722,0.278,0.0,0.233,0.767,0.0,0.5,0.5,0.006429953008786215,727.6993629251999,727.6993629251999,4.0,2.5,4.0
52,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,5.0,4.5,0.0
53,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.616,0.384,0.004563163253397638,514.4959735412,225.9029154442,5.0,3.5,3.5
54,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,5.0,3.0,5.0
55,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,5.0,5.0,4.25
56,1.0,0.0,0.584,0.416,0.0,0.366,0.634,0.0,0.611,0.389,0.011942546415558766,1353.0254766362,727.6993629251999,2.0,2.5,5.0
57,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,3.0,4.0,4.5
58,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,5.0,4.5,3.5
59,1.0,0.0,0.61,0.39,0.0,0.367,0.633,0.0,0.5,0.5,0.0041559173177428965,469.14631899020003,469.14631899020003,4.0,1.0,3.75
60,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,5.0,4.5,5.0
61,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,5.0,3.0,4.5
62,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,5.0,5.0,3.0
63,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,4.0,4.5,3.5
64,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,4.0,3.5,4.0
65,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,5.0,4.5,3.25
66,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,4.0,4.5,4.5
67,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,0.0,0.0,0.0
69,1.0,0.0,0.673,0.327,0.0,0.265,0.735,0.0,0.603,0.397,0.01100174493542809,1246.2095668337001,791.5848348437,5.0,4.5,3.0
