,usingElements_mean,usingElements_std,noElements_mean,noElements_std,onlyDistance_mean,onlyDistance_std,onlyAngular_mean,onlyAngular_std,distanceHeuristic_mean,distanceHeuristic_std,angularHeuristic_mean,angularHeuristic_std,regions_mean,regions_std,routeMarks_mean,routeMarks_std,barriers_mean,barriers_std,distantLandmarks_mean,distantLandmarks_std,preferenceNatural_mean,preferenceNatural_std,aversionSevering_mean,aversionSevering_std,portion
GROUP1,0.505386364,0.015392864,0.494613636,0.015392864,1,0,0,0,0.381886045,0.010112237,0,0,0,0,0.090023477,0.012539046,0.415362886,0.012136054,0,0,3.728181818,1.384544712,3.523636364,1.35711577,0.647058824
GROUP2,0.527,0.048787293,0.473,0.048787293,1,0,0,0,0.275572818,0.029468854,0,0,0,0,0.248162091,0.03998972,0.278837909,0.033221477,0,0,3.273636364,1.616058617,3.137272727,1.395808661,0.161764706
GROUP3,0.652384615,0.085667515,0.347615385,0.085667515,1,0,0,0,0.385320385,0.026355518,0,0,0,0,0.241281,0.091232821,0.411103615,0.031394518,0,0,3.385384615,1.500258952,3.154615385,1.212068586,0.191176471
POPULATION,0.536985294,0.071258305,0.463014706,0.071258305,1,0,0,0,0.365344882,0.043587608,0,0,0,0,0.144521603,0.085795794,0.392463691,0.054472434,0,0,3.589117647,1.43537684,3.390588235,1.330001551,1
NULLGROUP,0.536985294,0.071258305,0.463014706,0.071258305,1,0,0,0,0.365344882,0.043587608,0,0,0,0,0.144521603,0.085795794,0.392463691,0.054472434,0,0,3.589117647,1.43537684,3.390588235,1.330001551,1
