,usingElements_mean,usingElements_std,noElements_mean,noElements_std,distanceHeuristic_mean,distanceHeuristic_std,routeMarks_mean,routeMarks_std,barriers_mean,barriers_std,preferenceNatural_mean,preferenceNatural_std,aversionSevering_mean,aversionSevering_std,portion
GROUP3,0.5053863636363637,0.0153928644131441,0.4946136363636363,0.015392864413144084,0.38188604545454546,0.010112236635152873,0.09002347727272729,0.012539045730703784,0.4153628863636364,0.01213605407159374,3.728181818181818,1.3845447118806302,3.5236363636363635,1.357115770128199,0.6470588235294118
GROUP2,0.527,0.048787293427694875,0.47300000000000003,0.048787293427694875,0.27557281818181817,0.029468853512880956,0.2481620909090909,0.039989720030164114,0.27883790909090905,0.03322147660912906,3.273636363636364,1.616058617298721,3.1372727272727277,1.3958086610212084,0.16176470588235295
GROUP1,0.6523846153846153,0.08566751471195531,0.3476153846153847,0.0856675147119553,0.3853203846153846,0.02635551796916686,0.241281,0.09123282126058949,0.4111036153846154,0.03139451786681464,3.3853846153846154,1.500258952006927,3.1546153846153846,1.2120685856874012,0.19117647058823528
POPULATION,0.5369852941176471,0.07125830512414631,0.46301470588235294,0.0712583051241463,0.36534488235294127,0.043587607662924084,0.14452160294117647,0.08579579364826409,0.39246369117647056,0.05447243394414028,3.5891176470588233,1.435376839899458,3.3905882352941172,1.3300015512873247,1.0
NULLGROUP,0.5369852941176471,0.07125830512414631,0.46301470588235294,0.0712583051241463,0.36534488235294127,0.043587607662924084,0.14452160294117647,0.08579579364826409,0.39246369117647056,0.05447243394414028,3.5891176470588233,1.435376839899458,3.3905882352941172,1.3300015512873247,1.0
